session,idea_id,idea_name,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate
Session 1,3.1,Live Judgment Dashboard,5,4,5,3,5,5,3,31.54,Strong Win,PASS
Session 1,3.2,kgents judge CLI,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 1,3.3,Principle Scoreboard,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 1,3.4,Judge Explain Mode,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 1,3.5,Taste Test Game,5,3,5,3,5,5,2,32.09,Strong Win,PASS
Session 1,3.6,Judge vs User Consensus,4,3,4,3,4,5,3,22.08,Solid,PASS
Session 1,3.7,Principle Workshop,4,3,4,3,4,5,3,22.08,Solid,PASS
Session 1,3.8,Auto-Judge CI Hook,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 1,3.9,Principle Violation Detector,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 1,3.10,Custom Principle Builder,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,3.11,Judgment History Explorer,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 1,4.1,kgents whoami Ground,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 1,4.2,Ground Editor TUI,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,4.3,Context Snapshot,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 1,4.4,Ground Diff Viewer,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 1,4.5,Persona Playground,5,4,5,3,5,5,3,31.54,Strong Win,PASS
Session 1,4.6,Ground Minimal Seed,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 1,4.7,Ground-as-Code,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 1,4.8,Ground Truth Validator,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 1,5.1,Tension Detector TUI,5,4,5,3,5,5,3,31.54,Strong Win,PASS
Session 1,5.2,kgents contradict CLI,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 1,5.3,Tension Heatmap,4,4,4,3,5,5,3,26.32,Strong Win,PASS
Session 1,5.4,Contradiction Game,5,3,4,3,5,5,2,27.36,Strong Win,PASS
Session 1,5.5,Custom Tension Detector Builder,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,5.6,Temporal Contradiction Tracker,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,5.7,Contradiction REPL,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 1,5.8,Tension Severity Slider,3,3,3,3,3,5,2,18.38,Solid,PASS
Session 1,5.9,LacanError Explorer,5,4,5,3,4,5,2,31.97,Strong Win,PASS
Session 1,6.1,Synthesis Wizard,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 1,6.2,kgents sublate CLI,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 1,6.3,Hold-Tension Tracker,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 1,6.4,Synthesis Quality Scorer,3,4,4,3,3,5,2,23.51,Solid,PASS
Session 1,6.5,Dialectic Animator,5,4,5,3,5,5,3,31.54,Strong Win,PASS
Session 1,6.6,Premature Resolution Detector,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 1,6.7,Custom Resolution Strategy,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,6.8,Synthesis History Explorer,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 1,7.1,Convergence Animator,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 1,7.2,Fix Playground REPL,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 1,7.3,kgents poll CLI,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 1,7.4,Entropy Budget Visualizer,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 1,7.5,Fix History Viewer,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 1,7.6,Bounded History Demo,3,3,3,3,3,5,2,18.38,Solid,PASS
Session 1,7.7,Convergence Racer,5,3,4,3,5,5,3,24.51,Solid,PASS
Session 1,7.8,kgents retry CLI,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 1,7.9,Non-Convergence Debugger,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 1,7.10,Proximity Graph,4,3,4,3,5,5,2,25.94,Strong Win,PASS
Session 1,7.11,Adaptive Convergence Tuner,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 1,7.12,Musical Convergence,5,2,4,2,5,5,2,24.01,Solid,PASS
Session 1,CP.1,Bootstrap + K-gent Self-Aware,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 1,CP.2,Bootstrap + I-gent Laws Monitor,4,5,4,4,5,5,3,30.35,Strong Win,PASS
Session 1,CP.3,Bootstrap + N-gent Narrative,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 1,CP.4,Bootstrap + Flux Streaming,4,5,4,4,4,5,3,27.65,Strong Win,PASS
Session 1,CP.5,Bootstrap + T-gent Law Testing,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 1,CP.6,Bootstrap + H-gent Meta-Dialectic,5,5,4,3,4,5,3,28.51,Strong Win,PASS
Session 1,CP.7,Bootstrap + C-gent Functor Verify,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 2,Cons.1,kgents sleep,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 2,Cons.2,kgents sleep --watch,5,3,4,2,5,5,2,26.46,Strong Win,PASS
Session 2,Cons.3,kgents sleep-debt,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 2,Cons.4,kgents dream,5,3,5,3,5,5,2,31.19,Strong Win,PASS
Session 2,Cons.5,kgents sleep-log,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 2,Cons.6,Before/After Sleep Diff,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Cons.7,Consolidation Progress Bar,5,2,4,2,5,5,2,24.01,Solid,PASS
Session 2,Cons.8,Sleep Debt Meter Widget,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Cons.9,Hypnagogia Visualizer,5,4,5,3,4,5,3,27.91,Strong Win,PASS
Session 2,Cons.10,Sleep Schedule Auto,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 2,Cons.11,Lucid Consolidation,4,3,4,3,4,5,3,21.34,Solid,PASS
Session 2,Cons.12,Consolidation Battle,5,3,4,3,4,5,3,23.19,Solid,PASS
Session 2,Quest.13,kgents why Recursive,5,4,5,4,4,5,1,40.08,Crown Jewel,PASS
Session 2,Quest.14,kgents challenge Devils Advocate,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 2,Quest.15,kgents assume,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Quest.16,kgents interview,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 2,Quest.17,Child Mode Why Why Why,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 2,Quest.18,kgents contradict-me,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Quest.19,Question Quality Scorer,4,3,4,3,3,5,2,22.77,Solid,PASS
Session 2,Quest.20,Socratic Mode Toggle,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Quest.21,Code Review Questioner,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Quest.22,Answer Your Own Question,5,4,4,3,4,5,2,28.80,Strong Win,PASS
Session 2,Quest.23,Question Depth Tracker,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 2,Shape.24,Dynamic Prompt Character,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 2,Shape.25,Mood Glyph,4,3,4,3,4,5,1,28.98,Strong Win,PASS
Session 2,Shape.26,Phase Indicator,4,3,4,3,5,5,1,30.08,Strong Win,PASS
Session 2,Shape.27,What Do I Look Like,5,3,5,2,5,5,1,34.43,Strong Win,PASS
Session 2,Shape.28,Complexity-Adaptive Verbosity,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Shape.29,Resource-Based Appearance,5,3,4,2,5,5,2,26.46,Strong Win,PASS
Session 2,Shape.30,Confidence Gradient,4,3,4,3,5,5,2,25.94,Strong Win,PASS
Session 2,Shape.31,Terminal Theme Shifter,5,2,4,2,5,5,2,24.01,Solid,PASS
Session 2,Shape.32,Shapeshifter Registry,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 2,Shape.33,Depth-Responsive Nesting,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Shape.34,Shapeshifter Battle,5,3,4,2,4,5,3,21.31,Solid,PASS
Session 2,Spawn.35,kgents spawn,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Spawn.36,Entropy Budget Bar,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 2,Spawn.37,kgents spawn --limit,3,4,4,4,4,5,1,31.63,Strong Win,PASS
Session 2,Spawn.38,Why Did You Spawn,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Spawn.39,Parallel vs Serial Toggle,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 2,Spawn.40,Entropy Exhaustion Alert,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 2,Spawn.41,Spawn Tree Visualizer,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 2,Spawn.42,Collapse Animation,5,3,4,2,5,5,2,26.46,Strong Win,PASS
Session 2,Spawn.43,Leaf Node Highlighter,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Spawn.44,Aggregation Visualizer,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Spawn.45,Spawn History,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Spawn.46,Spawner Race,5,3,4,2,4,5,3,21.31,Solid,PASS
Session 2,Unc.47,kgents whatif,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 2,Unc.48,Collapse Ceremony,5,4,5,3,5,5,1,40.50,Crown Jewel,PASS
Session 2,Unc.49,Superposition Display,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 2,Unc.50,Delayed Collapse Toggle,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 2,Unc.51,Uncertainty Meter,3,4,4,3,4,5,1,29.67,Strong Win,PASS
Session 2,Unc.52,What Did I Not Choose,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Unc.53,Branch Probability Weights,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Unc.54,Parallel Universe Diff,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Unc.55,Variation Composer,5,4,4,3,4,5,3,24.77,Solid,PASS
Session 2,Unc.56,Explore All Mode,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Unc.57,Schrodinger Demo,5,3,4,2,5,5,2,26.46,Strong Win,PASS
Session 2,Unc.58,Variation Breeding,5,4,4,3,4,5,3,24.77,Solid,PASS
Session 2,Unc.59,Quantum Branch Visualizer,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Wit.60,kgents witness,4,5,4,4,4,5,2,32.32,Strong Win,PASS
Session 2,Wit.61,What Did You See,4,4,4,4,4,5,1,34.35,Strong Win,PASS
Session 2,Wit.62,Time-Travel Debugger,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 2,Wit.63,Ghost Mode,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Wit.64,Witness Insertion Points,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Wit.65,Narrative Generation,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 2,Wit.66,Witness Diff,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 2,Wit.67,Witness Network,5,4,4,3,5,5,3,26.99,Strong Win,PASS
Session 2,Wit.68,Selective Witness,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 2,Wit.69,Witness Audit Trail,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 2,Wit.70,Witness Poetry,5,3,5,2,5,5,2,29.09,Strong Win,PASS
Session 2,Dial.71,kgents tension,4,5,5,4,5,5,1,45.71,Crown Jewel,PASS
Session 2,Dial.72,Synthesize Now Button,4,5,5,4,4,5,1,41.71,Crown Jewel,PASS
Session 2,Dial.73,Why Hold Explain,3,4,4,4,3,5,1,28.63,Strong Win,PASS
Session 2,Dial.74,Dialectic Chain,4,5,4,3,5,5,2,33.42,Strong Win,PASS
Session 2,Dial.75,Tension Age Tracker,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Dial.76,Synthesis Suggester,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Dial.77,Tension Queue Dashboard,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 2,Dial.78,Dialectic Replay,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 2,Dial.79,Tension Heatmap,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 2,Dial.80,Aufheben Explainer,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Dial.81,Dialectician Battle,5,3,4,2,4,5,3,21.31,Solid,PASS
Session 2,Intro.82,kgents introspect Full,5,5,5,3,5,5,2,38.25,Strong Win,PASS
Session 2,Intro.83,Lens Selector Flags,3,4,4,4,3,5,1,28.63,Strong Win,PASS
Session 2,Intro.84,Shadow Detector,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 2,Intro.85,Blind Spot Finder,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 2,Intro.86,Meta-Synthesis Generator,5,5,5,3,4,5,2,35.02,Strong Win,PASS
Session 2,Intro.87,Three-Column View,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 2,Intro.88,Register Analysis Display,4,4,4,3,5,5,2,30.10,Strong Win,PASS
Session 2,Intro.89,Projection Detector,5,4,4,3,5,5,2,31.50,Strong Win,PASS
Session 2,Intro.90,Collective Shadow,5,4,5,3,4,5,3,27.91,Strong Win,PASS
Session 2,Intro.91,Introspection History,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 2,Intro.92,Whats Unspeakable,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,H.1,Contradiction Finder,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,H.2,Design Dialectic,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,H.3,API Contradiction Scan,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,H.4,Synthesis Suggestion,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 4,H.5,Tension Dashboard Live,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,H.6,Dialectic REPL,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,H.7,Sublation Explainer,3,4,5,4,4,5,1,35.71,Strong Win,PASS
Session 4,H.8,Thesis Matcher,4,3,4,3,3,5,3,19.67,Solid,PASS
Session 4,H.9,Should I Synthesize,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 4,H.10,Continuous Monitor,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 4,J.11,Shadow Scanner,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,J.12,Persona-Shadow Gap,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,J.13,Projection Detector,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,J.14,Archetype Identifier,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 4,J.15,Integration Path Generator,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 4,J.16,Collective Shadow Scan,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 4,J.17,Shadow Confessional,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 4,J.18,What Cant You Say,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,J.19,Trickster Mode,5,3,5,3,5,5,2,31.19,Strong Win,PASS
Session 4,J.20,Self Archetype Warning,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 4,L.21,Register Radar 3D,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,L.22,Slippage Detector,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,L.23,Gap Surfacer,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,L.24,Imaginary Alert,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 4,L.25,Real Proximity Meter,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,L.26,Knot Status Monitor,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,L.27,Objet Petit A Finder,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 4,L.28,Symbolic Purifier,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 4,L.29,Touch the Real,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,L.30,Register Triangulator,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 4,Psi.31,Metaphor Suggester,5,4,5,4,5,5,3,32.14,Strong Win,PASS
Session 4,Psi.32,Challenge Mode Adversarial,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,Psi.33,Distortion Meter,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,Psi.34,Metaphor Mapper Visual,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 4,Psi.35,Abstraction Slider,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,Psi.36,Projection Visualizer,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 4,Psi.37,Operation Executor,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 4,Psi.38,Translation Validator,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,Psi.39,Metaphor Library,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 4,Psi.40,Quick Metaphor,4,4,4,4,4,5,2,29.44,Strong Win,PASS
Session 4,CLI.41,kg shadow CLI,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,CLI.42,kg dialectic a b,5,5,5,5,5,5,1,51.43,Crown Jewel,PASS
Session 4,CLI.43,kg mirror,5,4,5,4,5,5,1,43.65,Crown Jewel,PASS
Session 4,CLI.44,kg metaphor,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,CLI.45,kg register,4,4,5,4,5,5,1,40.50,Crown Jewel,PASS
Session 4,CLI.46,kg project,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,CLI.47,kg archetype,5,3,5,3,5,5,1,36.54,Strong Win,PASS
Session 4,CLI.48,kg contradict x,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 4,CLI.49,kg sublime thesis anti,4,4,5,4,4,5,1,37.14,Strong Win,PASS
Session 4,CLI.50,kg gaps,5,4,5,5,5,5,1,47.14,Crown Jewel,PASS
Session 4,Full.51,Meta-Introspection Pipeline,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 4,Full.52,Introspection REPL,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 4,Full.53,Who Am I Really,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 4,Full.54,Integration Dashboard,4,4,5,4,5,5,3,28.64,Strong Win,PASS
Session 4,Full.55,Philosophical Debugger,5,5,5,3,5,5,4,28.97,Strong Win,PASS
Session 6,A.1,Oblique Strategies Agent,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 6,A.2,PAYADOR Battle Mode,5,4,5,3,5,5,3,29.74,Strong Win,PASS
Session 6,A.3,Constraint Poet,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 6,A.4,Bisociation Engine,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 6,A.5,Yes-And Pipeline,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,A.6,Creative Warm-Up Generator,4,3,4,3,4,5,1,28.98,Strong Win,PASS
Session 6,A.7,Metaphor Mixer,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 6,A.8,Anti-Pattern Provocateur,4,4,4,3,4,5,2,27.60,Strong Win,PASS
Session 6,A.9,Exquisite Corpus,5,4,4,3,4,5,3,24.77,Solid,PASS
Session 6,A.10,Genre Shifter,5,4,5,4,5,5,2,37.50,Strong Win,PASS
Session 6,A.11,Reverse Brainstorm,4,4,4,4,4,5,1,34.35,Strong Win,PASS
Session 6,A.12,Emotion Palette Agent,4,3,4,3,4,5,2,24.84,Solid,PASS
Session 6,A.13,Stream of Consciousness Curator,4,4,4,4,3,5,3,22.88,Solid,PASS
Session 6,A.14,Creative Checkpoint,3,3,4,3,3,5,2,19.64,Solid,PASS
Session 6,A.15,Deliberate Practice Designer,3,3,4,4,3,5,3,18.68,Solid,PASS
Session 6,A.16,Serendipity Injector,4,3,4,3,4,5,1,28.98,Strong Win,PASS
Session 6,A.17,Creative Debt Tracker,2,3,3,3,2,5,2,14.49,Consider,PASS
Session 6,A.18,Muse Rotation,5,4,4,3,4,5,3,24.77,Solid,PASS
Session 6,A.19,Cross-Pollination Suggester,4,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,A.20,Creative Cliff Detector,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 6,G.21,Safety Cage Demo,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,G.22,DSL Speedrun,4,4,5,4,5,5,2,36.53,Strong Win,PASS
Session 6,G.23,Grammar Golf,5,4,4,3,4,5,2,28.80,Strong Win,PASS
Session 6,G.24,Forbidden Word Game,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 6,G.25,Pidgin Generator,4,4,4,5,4,5,3,26.71,Strong Win,PASS
Session 6,G.26,Natural to Formal Pipeline,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 6,G.27,Grammar Linter,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 6,G.28,Constraint Proof Viewer,4,5,5,4,5,5,2,40.00,Crown Jewel,PASS
Session 6,G.29,Tongue Diff,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 6,G.30,BNF Beautifier,3,3,4,3,4,5,2,21.91,Solid,PASS
Session 6,G.31,Grammar Playground CLI,5,5,5,4,5,5,3,36.86,Strong Win,PASS
Session 6,G.32,Chomsky Classifier,3,4,4,4,4,5,3,23.05,Solid,PASS
Session 6,G.33,Error Message Designer,3,4,4,4,3,5,3,21.89,Solid,PASS
Session 6,G.34,Grammar Composition,4,5,4,4,4,5,4,24.09,Solid,PASS
Session 6,G.35,Visual Grammar Editor,4,4,5,3,5,5,4,23.69,Solid,PASS
Session 6,G.36,Grammar Test Generator,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 6,G.37,Constraint Challenge,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 6,G.38,DSL from Examples,5,5,5,4,5,5,4,29.48,Strong Win,PASS
Session 6,G.39,Syntax Tax Calculator,3,4,4,4,4,5,2,27.60,Strong Win,PASS
Session 6,G.40,Grammar Archaeology,4,4,4,3,4,5,4,21.04,Solid,PASS
Session 6,F.41,Intent to Artifact Visualizer,5,5,5,3,5,5,3,34.46,Strong Win,PASS
Session 6,F.42,Contract-First Wizard,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,F.43,ALO Viewer,4,4,5,3,5,5,2,33.97,Strong Win,PASS
Session 6,F.44,Forge Replay,4,4,5,3,5,5,3,28.99,Strong Win,PASS
Session 6,F.45,Composition Preview,4,5,4,4,4,5,3,27.65,Strong Win,PASS
Session 6,F.46,Search-Before-Forge CLI,3,5,4,4,4,5,2,29.75,Strong Win,PASS
Session 6,F.47,Contract Diff Viewer,3,4,4,4,4,5,3,23.05,Solid,PASS
Session 6,F.48,Artifact Lineage Graph,4,4,5,3,5,5,3,28.99,Strong Win,PASS
Session 6,F.49,Intent Templates,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,F.50,Validation Stream,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 6,F.51,Breaking Change Detector,3,5,4,4,3,5,3,24.64,Solid,PASS
Session 6,F.52,Forge Success Rate,3,3,4,3,4,5,2,21.91,Solid,PASS
Session 6,F.53,Multi-Agent Forge,4,5,5,4,4,5,4,27.63,Strong Win,PASS
Session 6,F.54,Drift Detector,3,4,4,4,3,5,4,18.72,Solid,PASS
Session 6,F.55,Contract Library Browser,4,4,4,4,4,5,3,25.30,Strong Win,PASS
Session 6,F.56,Forge Playground,4,4,4,3,4,5,3,24.16,Solid,PASS
Session 6,F.57,Intent Refiner,3,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,F.58,Artifact Health Dashboard,3,4,4,4,4,5,3,23.05,Solid,PASS
Session 6,F.59,Quick Forge Mode,4,4,4,4,3,5,2,25.55,Strong Win,PASS
Session 6,F.60,Forge Templates Gallery,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.61,kg create wizard,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.62,kg oblique,5,3,5,4,5,5,1,40.08,Crown Jewel,PASS
Session 6,CLI.63,kg payada topic,5,4,5,3,5,5,2,34.67,Strong Win,PASS
Session 6,CLI.64,kg brainstorm seed,4,4,5,4,4,5,2,33.22,Strong Win,PASS
Session 6,CLI.65,kg grammar try domain,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,CLI.66,kg forge intent,4,5,5,4,4,5,2,36.80,Strong Win,PASS
Session 6,CLI.67,kg blend a b,5,5,5,4,5,5,2,42.55,Crown Jewel,PASS
Session 6,CLI.68,kg constrain topic,4,4,5,4,4,5,1,37.14,Strong Win,PASS
