idea_name,source_session,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate,notes
Parallel Composition Operator,session-01,4,5,4,4,4,5,3,19.92,Solid,PASS,Fan-out composition
Composition DSL,session-01,4,5,5,4,5,5,3,26.41,Strong Win,PASS,Flowfiles enhancement
Live Judgment Dashboard,session-01,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Real-time principle eval
kgents judge CLI,session-01,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Judge any agent
Principle Scoreboard,session-01,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Track scores across codebase
Judge Explain Mode,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Detailed judgment explanation
Taste Test Game,session-01,5,3,4,3,5,5,2,23.58,Solid,PASS,Which impl is more tasteful?
Judge vs User Consensus,session-01,4,3,4,3,4,5,3,13.41,Consider,PASS,Compare with human feedback
Principle Workshop,session-01,4,3,4,3,4,5,3,13.41,Consider,PASS,Interactive principle tutorial
Auto-Judge CI Hook,session-01,3,4,4,4,3,5,2,19.72,Solid,PASS,GitHub action judges PRs
Principle Violation Detector,session-01,3,4,4,4,4,5,2,21.18,Solid,PASS,Static analysis for violations
Custom Principle Builder,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Define custom principles
Judgment History Explorer,session-01,4,3,4,3,4,5,2,18.79,Solid,PASS,Track judgment over time
kgents whoami Ground,session-01,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Ground introspection
Ground Editor TUI,session-01,4,4,5,4,4,5,3,20.43,Solid,PASS,Interactive persona editor
Context Snapshot,session-01,3,4,4,4,4,5,2,21.18,Solid,PASS,Freeze ground state
Ground Diff Viewer,session-01,4,3,4,3,4,5,2,18.79,Solid,PASS,Show ground changes
Persona Playground,session-01,5,4,4,3,5,5,3,18.26,Solid,PASS,Try different personas
Ground Minimal Seed,session-01,3,4,4,4,3,5,2,19.72,Solid,PASS,Kolmogorov complexity of Ground
Ground-as-Code,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Version-control persona
Ground Truth Validator,session-01,3,4,4,4,3,5,2,19.72,Solid,PASS,Ensure Ground consistency
Tension Detector TUI,session-01,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Real-time tension viz
kgents contradict CLI,session-01,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Find contradictions
Tension Heatmap,session-01,4,4,4,3,5,5,3,17.30,Solid,PASS,Where contradictions cluster
Contradiction Game,session-01,5,3,4,3,5,5,2,23.58,Solid,PASS,Spot the contradiction
Custom Tension Detector,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Define detection rules
Temporal Contradiction Tracker,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Past vs Present me
Contradiction REPL,session-01,4,4,4,3,4,5,2,20.49,Solid,PASS,Interactive exploration
Tension Severity Slider,session-01,3,3,4,3,3,5,2,14.62,Consider,PASS,Adjust detection sensitivity
LacanError Explorer,session-01,5,3,4,3,4,5,2,21.56,Solid,PASS,What system cannot symbolize
Synthesis Wizard,session-01,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Interactive synthesis
kgents sublate CLI,session-01,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Resolve tensions from CLI
Hold-Tension Tracker,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Track held tensions
Synthesis Quality Scorer,session-01,3,4,4,3,3,5,2,17.82,Solid,PASS,Rate synthesis quality
Dialectic Animator,session-01,5,4,4,3,5,5,3,18.26,Solid,PASS,Animated Hegelian dialectic
Premature Resolution Detector,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Catch early synthesis
Custom Resolution Strategy,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Domain-specific synthesis
Synthesis History Explorer,session-01,4,3,4,3,4,5,2,18.79,Solid,PASS,Track resolutions over time
Convergence Animator,session-01,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Watch values converge
Fix Playground REPL,session-01,5,5,5,4,5,5,2,38.27,Strong Win,PASS,Interactive fixed-point
kgents poll CLI,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Polling pattern
Entropy Budget Visualizer,session-01,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Show entropy depletion
Fix History Viewer,session-01,4,4,4,3,4,5,2,20.49,Solid,PASS,Explore iteration history
Bounded History Demo,session-01,3,3,4,3,3,5,2,14.62,Consider,PASS,Memory savings demo
Convergence Racer,session-01,5,4,4,3,5,5,3,18.26,Solid,PASS,Race different transforms
kgents retry with Fix,session-01,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Retry flaky commands
Non-Convergence Debugger,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Debug why Fix didn't converge
Proximity Graph,session-01,4,4,4,3,5,5,2,21.95,Solid,PASS,Visualize proximity to fixed point
Adaptive Convergence Tuner,session-01,4,4,4,4,4,5,3,17.41,Solid,PASS,Auto-adjust max_iterations
Musical Convergence,session-01,5,2,3,2,5,5,2,15.18,Solid,PASS,Play tones as values converge
Bootstrap + K-gent,session-01,5,5,5,4,5,5,3,28.39,Strong Win,PASS,All agents get personality
Bootstrap + I-gent,session-01,4,5,5,4,5,5,3,26.41,Strong Win,PASS,Live law verification
Bootstrap + N-gent,session-01,4,4,4,3,4,5,3,16.40,Solid,PASS,Narrative bootstrapping
Bootstrap + Flux,session-01,4,4,4,4,4,5,3,17.41,Solid,PASS,Streaming judgments
Bootstrap + T-gent,session-01,4,5,5,4,4,5,2,32.33,Strong Win,PASS,Law-based testing
Bootstrap + H-gent,session-01,5,4,4,3,4,5,3,17.30,Solid,PASS,Meta-dialectic
Bootstrap + C-gent,session-01,4,5,5,4,4,5,2,32.33,Strong Win,PASS,Functor verification
# Session 02: Archetypes in Action
kgents whatif,session-02,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Show 3 alternatives instantly
kgents why,session-02,5,4,4,3,4,5,1,31.00,Strong Win,PASS,Recursive why until bedrock
kgents tension,session-02,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,List unresolved tensions
kgents challenge,session-02,5,4,4,3,5,5,1,33.00,Strong Win,PASS,Devil's advocate mode
Child Mode,session-02,5,3,4,2,5,5,1,26.67,Strong Win,PASS,Why Why WHY until break
Dynamic Prompt Character,session-02,5,3,4,2,5,5,1,26.67,Strong Win,PASS,Prompt character breathes
Collapse Ceremony,session-02,5,3,4,2,5,5,1,26.67,Strong Win,PASS,Dramatic wave collapse
What Do I Look Like,session-02,5,3,4,2,5,5,1,26.67,Strong Win,PASS,Agent describes its form
kgents sleep,session-02,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Trigger consolidation
kgents sleep --watch,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Watch consolidation live
kgents sleep-debt,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Time since last sleep
kgents dream,session-02,5,3,4,2,5,5,2,21.00,Solid,PASS,Poetic consolidation
kgents sleep-log,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,History of sleep cycles
Before/After Sleep Diff,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Show compression visually
Consolidation Progress Bar,session-02,5,3,3,2,5,5,2,18.98,Solid,PASS,Live progress
Sleep Debt Meter Widget,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Gamified sleep tracking
Hypnagogia Visualizer,session-02,5,3,3,2,4,5,3,12.47,Consider,PASS,Liminal space viz
Sleep Schedule,session-02,3,4,4,4,3,5,3,14.96,Consider,PASS,Auto-consolidation triggers
Lucid Consolidation,session-02,4,3,4,3,4,5,3,13.41,Consider,PASS,User-guided consolidation
Consolidation Battle,session-02,5,3,3,2,4,5,3,12.47,Consider,PASS,Strategy competition
kgents assume,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Assumption excavator
kgents interview,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Structured questioning
kgents contradict-me,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Find flaws in argument
Question Quality Scorer,session-02,4,3,4,2,3,5,2,15.05,Solid,PASS,Meta-questioning
Socratic Mode Toggle,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Any command as questions
Code Review Questioner,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Only asks questions
Answer Your Own Question,session-02,5,3,4,3,4,5,2,21.56,Solid,PASS,Rubber duck elevated
Question Depth Tracker,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Tree of why questions
Mood Glyph,session-02,4,3,4,2,4,5,1,20.31,Solid,PASS,Emotional state indicator
Phase Indicator,session-02,4,3,4,2,5,5,1,22.31,Solid,PASS,Work stage viz
Complexity-Adaptive Verbosity,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Output adapts to task
Resource-Based Appearance,session-02,5,3,4,2,5,5,2,21.00,Solid,PASS,Visual reflects resources
Confidence Gradient,session-02,4,3,4,3,5,5,2,20.56,Solid,PASS,Visual confidence
Terminal Theme Shifter,session-02,5,2,4,2,5,5,2,17.80,Solid,PASS,Terminal colors shift
Shapeshifter Registry,session-02,4,3,4,3,4,5,3,13.41,Consider,PASS,Form catalog
Depth-Responsive Nesting,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Visual adapts to depth
Shapeshifter Battle,session-02,5,2,3,2,4,5,3,10.23,Consider,PASS,Form competition
kgents spawn,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Task decomposition
Entropy Budget Bar,session-02,4,4,4,3,5,5,1,29.48,Strong Win,PASS,Gamify recursion limits
kgents spawn --limit,session-02,3,4,4,3,4,5,1,23.88,Solid,PASS,Control depth
Why Did You Spawn,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Justify spawn decisions
Parallel vs Serial Toggle,session-02,3,4,4,3,4,5,2,19.03,Solid,PASS,Execution strategy
Entropy Exhaustion Alert,session-02,4,4,4,3,4,5,1,26.59,Strong Win,PASS,Recursion budget depleted
Spawn Tree Visualizer,session-02,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Recursive tree viz
Collapse Animation,session-02,5,3,4,2,5,5,2,21.00,Solid,PASS,Animate expand/collapse
Leaf Node Highlighter,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Highlight where work happens
Aggregation Visualizer,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,How leaves aggregate up
Spawn History,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Track spawn behavior
Spawner Race,session-02,5,3,3,2,4,5,3,12.47,Consider,PASS,Strategy competition
Superposition Display,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,All variations visible
Delayed Collapse Toggle,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Control when collapse happens
Uncertainty Meter,session-02,3,4,4,3,4,5,1,23.88,Solid,PASS,Quantify uncertainty
What Did I Not Choose,session-02,5,3,4,3,5,5,2,23.58,Solid,PASS,Paths not taken
Branch Probability Weights,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Weighted superposition
Parallel Universe Diff,session-02,5,3,4,3,5,5,2,23.58,Solid,PASS,Multiverse comparison
Variation Composer,session-02,5,3,4,3,4,5,3,15.40,Solid,PASS,Mix best parts
Explore All Mode,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Never collapse
Schrodinger Demo,session-02,5,2,3,2,5,5,2,15.18,Solid,PASS,Quantum cat demo
Variation Breeding,session-02,5,3,3,2,4,5,3,12.47,Consider,PASS,Genetic algorithm
Quantum Branch Visualizer,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Tree of possibilities
kgents witness,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Insert observer
What Did You See,session-02,4,4,4,3,4,5,1,26.59,Strong Win,PASS,Witness summary
Time-Travel Debugger,session-02,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Replay from witness point
Ghost Mode,session-02,5,3,4,2,5,5,2,21.00,Solid,PASS,Silent observer
Witness Insertion Points,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Smart placement
Narrative Generation,session-02,5,3,4,3,5,5,2,23.58,Solid,PASS,Story from witness logs
Witness Diff,session-02,4,4,4,3,5,5,2,21.95,Solid,PASS,Before vs after
Witness Network,session-02,5,4,4,3,5,5,3,18.26,Solid,PASS,Observation graph
Selective Witness,session-02,3,4,4,3,3,5,2,17.82,Solid,PASS,Filter observations
Witness Audit Trail,session-02,3,4,4,3,4,5,2,19.03,Solid,PASS,Compliance-ready
Witness Poetry,session-02,5,2,4,2,5,5,2,17.80,Solid,PASS,Poetic narratives
Synthesize Now Button,session-02,4,4,4,3,4,5,1,26.59,Strong Win,PASS,Manual synthesis
Why Hold Tensions,session-02,3,4,4,3,3,5,1,21.67,Solid,PASS,Explain held tensions
Dialectic Chain,session-02,4,4,4,3,5,5,2,21.95,Solid,PASS,Recursive synthesis
Tension Age Tracker,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,How long held
Synthesis Suggester,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,AI proposals
Tension Queue Dashboard,session-02,4,4,4,3,5,5,2,21.95,Solid,PASS,Visual dashboard
Dialectic Replay,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Watch synthesis
Tension Heatmap,session-02,4,3,4,3,5,5,2,20.56,Solid,PASS,Severity viz
Aufheben Explainer,session-02,4,4,4,3,4,5,2,20.49,Solid,PASS,Preserved/negated/elevated
Dialectician Battle,session-02,5,3,3,2,4,5,3,12.47,Consider,PASS,Synthesis competition
kgents introspect,session-02,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Full three-lens analysis
Lens Selector flags,session-02,3,4,4,3,3,5,1,21.67,Solid,PASS,Choose your lens
Shadow Detector,session-02,5,4,5,4,5,5,2,34.00,Strong Win,PASS,What are we NOT seeing
Blind Spot Finder,session-02,5,4,5,4,5,5,2,34.00,Strong Win,PASS,What lenses miss
Meta-Synthesis Generator,session-02,5,4,4,3,4,5,2,23.58,Solid,PASS,Integrate all three
Three-Column View,session-02,4,4,4,3,5,5,2,21.95,Solid,PASS,Hegel Lacan Jung
Register Analysis Display,session-02,4,3,4,3,5,5,2,20.56,Solid,PASS,Symbolic/Imaginary/Real
Projection Detector,session-02,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Catch projections
Collective Shadow,session-02,5,3,4,3,4,5,3,15.40,Solid,PASS,System-level shadow
Introspection History,session-02,4,3,4,3,4,5,2,18.79,Solid,PASS,Track over time
What's Unspeakable,session-02,5,3,4,3,5,5,2,23.58,Solid,PASS,Real proximity
# Session 04: H-gents Thinking
Contradiction Finder,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,Analyze codebase for tensions
Design Dialectic,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Surface requirement tension
API Contradiction Scan,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,Find inconsistent interfaces
Synthesis Suggestion,session-04,4,4,4,3,4,5,3,16.40,Solid,PASS,Reconcile X and Y
Tension Dashboard,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Live view of tensions
Dialectic REPL,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Interactive synthesis
Sublation Explainer,session-04,3,4,5,4,4,5,1,35.39,Strong Win,PASS,Preserved/negated/elevated
Thesis Matcher,session-04,4,3,4,3,3,5,3,12.39,Consider,PASS,Find code pairs
Should I Synthesize,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,Detect premature synthesis
Continuous Monitor,session-04,3,4,4,4,3,5,2,19.72,Solid,PASS,Background dialectic watcher
Shadow Scanner,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,You claim X you shadow Y
Persona-Shadow Gap,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Integration balance viz
Projection Detector H,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Find projections onto users
Archetype Identifier,session-04,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Wise Old Man energy
Integration Path Generator,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,How to integrate shadow
Collective Shadow Scan,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,System-level analysis
Shadow Confessional,session-04,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Safe acknowledgment
What Can't You Say,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Surface unspeakable
Trickster Mode,session-04,5,3,4,2,5,5,2,21.00,Solid,PASS,Shadow creativity
Self Archetype Warning,session-04,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Detect inflation
Register Radar,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,RSI position in 3D
Slippage Detector,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,You claim facts but ideals
Gap Surfacer,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,What can't be represented
Imaginary Alert,session-04,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Aspirational not factual
Real Proximity Meter,session-04,5,3,4,2,5,5,2,21.00,Solid,PASS,How close to impossible
Knot Status Monitor,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,Are registers knotted
Objet Petit A Finder,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,System organized around lacking
Symbolic Purifier,session-04,3,4,4,3,3,5,2,17.82,Solid,PASS,Remove imaginary fluff
Touch the Real,session-04,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Force confrontation
Register Triangulator,session-04,5,4,4,3,5,5,3,18.26,Solid,PASS,All 3 perspectives
Metaphor Suggester,session-04,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Try thinking as plumbing
Challenge Mode,session-04,5,4,4,3,5,5,2,25.60,Strong Win,PASS,Stress-test metaphor
Distortion Meter,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,How much lost in translation
Metaphor Mapper,session-04,5,4,4,3,5,5,3,18.26,Solid,PASS,Visualize mappings
Abstraction Slider,session-04,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Concrete to Abstract
Projection Visualizer,session-04,5,4,4,3,5,5,3,18.26,Solid,PASS,Problem in metaphor space
Operation Executor,session-04,4,4,4,3,4,5,3,16.40,Solid,PASS,Run metaphor ops live
Translation Validator,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,Does solution map back
Metaphor Library,session-04,3,4,4,4,3,5,3,14.96,Consider,PASS,Catalog of metaphors
Quick Metaphor,session-04,4,4,4,3,4,5,2,20.49,Solid,PASS,One-shot metaphor
kg shadow CLI,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,CLI shadow analysis
kg dialectic CLI,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Synthesize two concepts
kg mirror,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Reflect on self-image
kg metaphor,session-04,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Suggest metaphor
kg register,session-04,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Show RSI position
kg project,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,What are you projecting
kg archetype,session-04,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Identify archetype
kg contradict,session-04,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Find antithesis
kg sublime,session-04,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Explicit sublation
kg gaps,session-04,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,What can't be said
Meta-Introspection,session-04,5,4,5,4,5,5,3,25.49,Strong Win,PASS,All 3 H-gents + meta
Introspection REPL,session-04,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Interactive H-gent
Who Am I Really,session-04,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Full self-examination
Integration Dashboard,session-04,4,4,5,4,5,5,3,23.66,Solid,PASS,Track all 3 dimensions
Philosophical Debugger,session-04,5,4,5,4,5,5,4,20.52,Solid,PASS,Step through introspection
# Session 06: A-gents Creation
Oblique Strategies Agent,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Brian Eno lateral thinking
PAYADOR Battle Mode,session-06,5,4,4,3,5,5,3,18.26,Solid,PASS,Two agents improvise
Constraint Poet,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Generate productive constraints
Bisociation Engine,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Koestler forced connections
Yes-And Pipeline,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Chain creativity modes
Creative Warm-Up Generator,session-06,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Daily exercises
Metaphor Mixer,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Blend concept spaces
Anti-Pattern Provocateur,session-06,4,3,5,3,4,5,2,22.05,Solid,PASS,Suggest wrong approaches
Exquisite Corpus,session-06,5,3,4,3,4,5,3,15.40,Solid,PASS,Collaborative creativity
Genre Shifter,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Reframe across genres
Reverse Brainstorm,session-06,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Make ideas WORSE
Emotion Palette Agent,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Suggest emotional tones
Stream of Consciousness Curator,session-06,4,4,4,3,3,5,3,14.38,Consider,PASS,Parse rambling thoughts
Creative Checkpoint,session-06,3,4,4,4,3,5,2,19.72,Solid,PASS,Periodic check-ins
Deliberate Practice Designer,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Creative exercises
Serendipity Injector,session-06,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Random what-if interrupts
Creative Debt Tracker,session-06,2,4,4,4,2,5,2,14.61,Consider,PASS,Log half-baked ideas
Muse Rotation,session-06,5,3,4,3,4,5,3,15.40,Solid,PASS,Greek muses as modes
Cross-Pollination Suggester,session-06,4,4,5,4,3,5,2,26.51,Strong Win,PASS,Techniques from Y for X
Creative Cliff Detector,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Detect creative rut
Safety Cage Demo,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Try to break constrained DSL
DSL Speedrun,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,30-second grammar
Grammar Golf,session-06,5,4,4,3,4,5,2,23.58,Solid,PASS,Minimize grammar size
Forbidden Word Game,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,DSL without dangerous verbs
Pidgin Generator,session-06,4,4,4,4,4,5,3,17.41,Solid,PASS,90% token compression
Natural to Formal Pipeline,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Live translation
Grammar Linter,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Check Tongue for ambiguity
Constraint Proof Viewer,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Show structural enforcement
Tongue Diff,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Compare grammar versions
BNF Beautifier,session-06,3,3,4,3,4,5,2,15.95,Solid,PASS,Pretty-print grammars
Grammar Playground CLI,session-06,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Instant DSL REPL
Chomsky Classifier,session-06,3,4,4,4,4,5,3,15.96,Solid,PASS,Detect grammar complexity
Error Message Designer,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Helpful parse errors
Grammar Composition,session-06,4,5,4,4,4,5,4,16.67,Solid,PASS,Merge two Tongues
Visual Grammar Editor,session-06,4,4,4,4,5,5,4,15.95,Solid,PASS,Tree viz of BNF
Grammar Test Generator,session-06,4,4,4,4,4,5,3,17.41,Solid,PASS,Auto-fuzz Tongue
Constraint Challenge,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Loops impossible recursion ok
DSL from Examples,session-06,5,4,5,4,5,5,4,22.67,Solid,PASS,Infer grammar from 5 examples
Syntax Tax Calculator,session-06,3,4,4,4,4,5,2,21.18,Solid,PASS,Token cost by Chomsky level
Grammar Archaeology,session-06,4,3,4,3,4,5,4,12.08,Consider,PASS,Reverse-engineer DSL
Intent to Artifact Visualizer,session-06,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Animated Forge Loop
Contract-First Wizard,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Step-by-step CLI guide
ALO Viewer,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Beautiful .alo.md rendering
Forge Replay,session-06,4,4,5,4,5,5,3,23.66,Solid,PASS,Show artifact history
Composition Preview,session-06,4,4,4,3,4,5,3,16.40,Solid,PASS,Could compose with 7 others
Search-Before-Forge CLI,session-06,3,4,5,4,4,5,2,27.75,Strong Win,PASS,Found 3 similar agents
Contract Diff Viewer,session-06,3,4,4,4,4,5,3,15.96,Solid,PASS,Compare contracts
Artifact Lineage Graph,session-06,4,4,5,4,5,5,3,23.66,Solid,PASS,Git-style .alo.md history
Intent Templates,session-06,3,4,5,4,3,5,2,25.05,Strong Win,PASS,Common patterns
Validation Stream,session-06,4,4,4,4,4,5,3,17.41,Solid,PASS,Real-time test feedback
Breaking Change Detector,session-06,3,4,4,4,3,5,3,14.96,Consider,PASS,Flag contract changes
Forge Success Rate,session-06,3,4,4,4,4,5,2,21.18,Solid,PASS,Dashboard of attempts
Multi-Agent Forge,session-06,4,4,4,4,4,5,4,14.51,Consider,PASS,Create pipeline in one cmd
Drift Detector,session-06,3,4,4,4,3,5,4,12.46,Consider,PASS,Monitor for API changes
Contract Library Browser,session-06,4,4,4,4,4,5,3,17.41,Solid,PASS,Search preview contracts
